"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 09","363.55","375.00","375.15","350.00","5.03K","13.04%"
"Dec 09","407.25","378.25","390.45","350.05","0.30K","12.02%"
"Jan 10","416.50","425.00","425.00","425.00","0.00K","2.27%"
"Feb 10","432.40","420.55","433.00","414.50","7.61K","3.82%"
"Mar 10","478.15","433.90","476.95","432.10","0.43K","10.58%"
"Apr 10","554.75","542.95","553.30","542.95","0.00K","16.02%"
"May 10","461.85","437.75","470.45","434.00","8.76K","-16.75%"
"Jun 10","444.40","464.00","499.10","421.75","1.50K","-3.78%"
"Jul 10","500.00","436.05","477.35","436.05","0.00K","12.51%"
"Aug 10","500.40","503.30","508.00","486.00","4.54K","0.08%"
"Sep 10","571.25","503.75","560.00","503.35","0.57K","14.16%"
"Oct 10","651.30","565.40","653.60","498.30","-","14.01%"
"Nov 10","700.95","657.15","704.25","657.15","8.67K","7.62%"
"Dec 10","803.30","746.10","788.10","730.00","0.36K","14.60%"
"Jan 11","819.00","748.10","748.10","748.10","0.00K","1.95%"
"Feb 11","797.65","775.00","791.75","774.30","10.90K","-2.61%"
"Mar 11","767.90","798.00","821.90","696.00","0.66K","-3.73%"
"Apr 11","791.95","754.05","764.40","750.00","0.00K","3.13%"
"May 11","778.95","753.50","782.25","751.55","8.60K","-1.64%"
"Jun 11","759.40","772.00","818.05","720.05","0.77K","-2.51%"
"Jul 11","826.70","771.90","783.00","771.90","0.00K","8.86%"
"Aug 11","788.10","732.00","794.45","732.00","5.07K","-4.67%"
"Sep 11","614.05","783.35","788.20","614.50","0.41K","-22.08%"
"Oct 11","651.05","539.40","626.00","536.65","0.01K","6.03%"
"Nov 11","610.00","662.60","662.60","565.60","6.22K","-6.31%"
"Dec 11","655.60","616.05","680.60","605.75","0.40K","7.48%"
"Jan 12","685.20","656.30","702.00","608.00","-","4.51%"
"Feb 12","706.65","711.20","721.95","700.00","7.73K","3.13%"
"Mar 12","653.15","714.55","719.60","644.70","0.37K","-7.57%"
"Apr 12","683.50","652.70","684.80","629.30","-","4.65%"
"May 12","612.10","594.10","613.55","588.70","12.93K","-10.45%"
"Jun 12","583.05","605.65","634.10","561.20","0.45K","-4.75%"
"Jul 12","589.75","563.70","563.70","561.95","0.01K","1.15%"
"Aug 12","627.95","630.95","635.00","612.00","5.75K","6.48%"
"Sep 12","639.65","626.80","704.30","613.35","0.55K","1.86%"
"Oct 12","606.70","643.50","666.10","598.40","0.00K","-5.15%"
"Nov 12","686.25","670.80","691.35","666.75","3.12K","13.11%"
"Dec 12","702.65","681.50","717.20","673.40","0.33K","2.39%"
"Jan 13","745.30","679.05","725.80","679.05","0.00K","6.07%"
"Feb 13","732.60","741.00","749.45","724.95","3.03K","-1.70%"
"Mar 13","767.10","726.00","785.00","711.85","0.42K","4.71%"
"Apr 13","696.70","751.50","751.50","675.00","0.02K","-9.18%"
"May 13","751.05","748.30","761.00","742.05","1.72K","7.80%"
"Jun 13","659.20","752.90","768.40","637.60","0.42K","-12.23%"
"Jul 13","725.45","685.10","725.20","685.10","0.01K","10.05%"
"Aug 13","722.10","744.45","744.45","719.65","2.28K","-0.46%"
"Sep 13","726.15","726.85","727.70","680.70","0.48K","0.56%"
"Oct 13","737.60","723.20","754.30","692.50","-","1.58%"
"Nov 13","718.00","751.00","751.00","714.10","3.28K","-2.66%"
"Dec 13","717.40","716.05","744.00","699.95","0.46K","-0.08%"
"Jan 14","705.15","720.25","754.90","703.00","6.61K","-1.71%"
"Feb 14","743.85","729.90","746.95","726.90","3.43K","5.49%"
"Mar 14","777.50","747.50","802.55","745.70","0.41K","4.52%"
"Apr 14","812.65","780.00","780.00","780.00","0.01K","4.52%"
"May 14","835.65","828.40","840.15","828.00","2.66K","2.83%"
"Jun 14","843.55","836.45","862.95","809.40","0.68K","0.95%"
"Jul 14","874.65","876.60","884.30","876.60","0.01K","3.69%"
"Aug 14","908.65","840.15","909.75","840.15","4.32K","3.89%"
"Sep 14","774.95","908.00","912.00","775.25","0.39K","-14.71%"
"Oct 14","791.45","790.00","790.00","768.00","0.36K","2.13%"
"Nov 14","812.40","794.00","814.55","790.40","3.20K","2.65%"
"Dec 14","798.40","805.50","830.10","793.90","0.39K","-1.72%"
"Jan 15","772.70","803.25","803.25","791.55","0.03K","-3.22%"
"Feb 15","818.45","786.05","818.90","786.00","2.88K","5.92%"
"Mar 15","735.00","819.45","832.20","745.05","0.37K","-10.20%"
"Apr 15","776.50","763.50","763.50","763.50","0.00K","5.65%"
"May 15","776.75","790.30","795.10","771.40","3.31K","0.03%"
"Jun 15","671.65","777.60","778.95","674.55","0.48K","-13.53%"
"Jul 15","611.15","677.60","702.95","596.20","3.16K","-9.01%"
"Aug 15","602.25","611.00","625.80","519.20","63.50K","-1.46%"
"Sep 15","650.95","599.50","678.00","568.00","86.64K","8.09%"
"Oct 15","678.00","690.00","690.00","690.00","0.00K","4.16%"
"Nov 15","543.90","651.00","651.40","538.00","0.17K","-19.78%"
"Dec 15","562.25","546.50","572.75","539.70","0.26K","3.37%"
"Jan 16","499.00","550.55","551.45","458.60","2.12K","-11.25%"
"Feb 16","495.65","500.20","532.10","480.45","52.78K","-0.67%"
"Mar 16","564.00","494.70","608.15","491.25","95.56K","13.79%"
"Apr 16","631.40","540.00","540.00","539.00","0.02K","11.95%"
"May 16","549.85","565.00","565.00","565.00","0.01K","-12.92%"
"Jun 16","599.35","551.50","555.00","539.35","0.02K","9.00%"
"Jul 16","711.65","670.90","690.05","670.85","0.00K","18.74%"
"Aug 16","671.30","697.15","735.65","672.00","0.21K","-5.67%"
"Sep 16","722.95","675.00","728.95","654.80","0.76K","7.69%"
"Oct 16","619.90","722.00","726.70","613.70","3.22K","-14.25%"
"Nov 16","772.65","623.40","775.75","618.85","55.83K","24.64%"
"Dec 16","683.95","773.35","773.35","655.45","0.86K","-11.48%"
"Jan 17","755.40","698.25","798.05","696.75","4.04K","10.45%"
"Feb 17","771.70","760.10","796.20","746.00","52.71K","2.16%"
"Mar 17","798.50","771.55","815.00","741.55","0.78K","3.47%"
"Apr 17","826.45","798.20","829.25","770.60","4.58K","3.50%"
"May 17","815.95","826.45","827.00","747.70","60.48K","-1.27%"
"Jun 17","836.65","817.25","891.35","809.05","115.21K","2.54%"
"Jul 17","885.40","839.35","897.35","824.30","78.63K","5.83%"
"Aug 17","931.95","884.55","948.85","865.45","107.59K","5.26%"
"Sep 17","925.20","939.90","992.20","902.50","0.29K","-0.72%"
"Oct 17","978.65","936.38","1,005.20","904.38","-","5.78%"
"Nov 17","1,005.72","978.80","1,023.85","973.67","-","2.77%"
"Dec 17","1,045.85","1,046.70","1,050.00","1,046.70","0.02K","3.99%"
"Jan 18","1,012.80","1,064.95","1,093.90","1,010.00","0.07K","-3.16%"
"Feb 18","1,031.95","1,012.70","1,049.60","966.55","0.61K","1.89%"
"Mar 18","938.65","1,015.25","1,015.25","933.00","2.05K","-9.04%"
"Apr 18","955.80","944.10","1,039.45","889.80","7.67K","1.83%"
"May 18","981.70","953.65","999.50","932.05","37.52K","2.71%"
"Jun 18","950.90","980.20","1,026.00","925.30","90.93K","-3.14%"
"Jul 18","931.90","944.90","962.80","853.30","94.61K","-2.00%"
"Aug 18","980.30","929.10","980.30","815.20","123.63K","5.19%"
"Sep 18","1,064.30","970.00","1,085.00","942.10","-","8.57%"
"Oct 18","1,066.00","1,064.30","1,136.90","1,032.40","-","0.16%"
"Nov 18","1,147.20","1,066.00","1,173.00","1,062.60","-","7.62%"
"Dec 18","1,197.50","1,152.00","1,208.70","1,135.80","-","4.38%"
"Jan 19","1,310.65","1,197.50","1,397.40","1,190.10","-","9.45%"
"Feb 19","1,499.10","1,310.70","1,525.80","1,306.10","-","14.38%"
"Mar 19","1,352.40","1,499.00","1,576.60","1,303.60","-","-9.79%"
"Apr 19","1,373.45","1,352.45","1,457.10","1,295.50","-","1.56%"
"May 19","1,324.15","1,372.10","1,374.30","1,256.50","-","-3.59%"
"Jun 19","1,531.55","1,323.25","1,558.30","1,305.20","-","15.66%"
"Jul 19","1,519.35","1,531.30","1,599.95","1,495.30","-","-0.80%"
"Aug 19","1,530.00","1,519.45","1,543.20","1,378.60","-","0.70%"
"Sep 19","1,647.55","1,532.95","1,669.40","1,513.65","-","7.68%"
"Oct 19","1,771.25","1,648.05","1,799.10","1,606.45","-","7.51%"
"Nov 19","1,813.15","1,771.45","1,818.00","1,644.30","-","2.37%"
"Dec 19","1,912.10","1,813.75","1,974.50","1,785.30","-","5.46%"
"Jan 20","2,217.35","1,911.15","2,427.55","1,908.25","-","15.96%"
"Feb 20","2,500.00","2,222.70","2,789.10","2,171.30","-","12.75%"
"Mar 20","2,237.20","2,504.65","2,576.90","1,355.10","-","-10.51%"
"Apr 20","1,951.20","2,237.20","2,288.00","1,765.00","-","-12.78%"
"May 20","1,963.70","1,951.20","2,168.80","1,732.00","-","0.64%"
"Jun 20","1,948.90","1,963.70","2,060.30","1,832.10","-","-0.75%"
"Jul 20","2,133.00","1,948.90","2,420.20","1,895.20","-","9.45%"
"Aug 20","2,273.90","2,127.50","2,350.00","2,101.30","-","6.61%"
"Sep 20","2,325.95","2,273.90","2,454.50","2,191.20","-","2.29%"
"Oct 20","2,215.70","2,324.00","2,491.90","2,182.00","-","-4.74%"
"Nov 20","2,374.60","2,221.50","2,522.25","2,196.00","-","7.17%"
"Dec 20","2,455.50","2,374.10","2,476.50","2,225.10","-","3.41%"
"Jan 21","2,211.00","2,455.50","2,535.50","2,190.50","-","-9.96%"
"Feb 21","2,329.50","2,211.00","2,490.00","2,208.00","-","5.36%"
"Mar 21","2,617.00","2,329.50","2,748.00","2,264.25","-","12.34%"
"Apr 21","2,935.00","2,621.50","3,008.50","2,586.50","-","12.15%"
"May 21","2,844.00","2,940.75","3,019.00","2,733.00","-","-3.10%"
"Jun 21","2,780.50","2,848.25","2,875.00","2,452.00","-","-2.23%"
"Jul 21","2,664.00","2,780.50","2,882.00","2,566.50","-","-4.19%"
"Aug 21","2,466.50","2,649.75","2,707.25","2,260.00","-","-7.41%"
"Sep 21","1,897.00","2,466.50","2,494.50","1,827.00","-","-23.09%"
"Oct 21","1,988.50","1,897.00","2,205.50","1,831.00","-","4.82%"
"Nov 21","1,735.50","1,989.00","2,215.25","1,696.50","-","-12.72%"
"Dec 21","1,903.00","1,735.50","2,019.28","1,531.53","-","9.65%"
"Jan 22","2,335.52","1,892.25","2,448.00","1,817.25","-","22.73%"
"Feb 22","2,487.52","2,338.50","2,712.27","2,168.00","-","6.51%"
"Mar 22","2,274.52","2,488.50","3,417.02","2,025.50","-","-8.56%"
